date,symbol,side,qty,price,reason
2010-11-02,IAU,BUY,33.9298,26.525304457855228,defensive_override
2010-11-03,IAU,SELL,33.9298,26.4947,defensive_override
2010-11-03,IAU,BUY,33.9724,26.5053,defensive_override
2010-11-04,IAU,SELL,33.9724,26.954607084655763,defensive_override
2010-11-04,IAU,BUY,33.154,26.96539108428955,defensive_override
2010-11-05,IAU,SELL,33.154,27.054587466049192,defensive_override
2010-11-05,IAU,BUY,34.0065,27.065411465835574,defensive_override
2010-11-08,IAU,SELL,34.0065,27.21455531349182,defensive_override
2010-11-08,IAU,BUY,33.889,27.225443313217163,defensive_override
2010-11-09,SOXX,BUY,28.5486,17.763552228927615,rebalance
2010-11-09,IAU,SELL,33.6451,27.794439237213133,rebalance
2010-11-09,FDN,BUY,12.6532,34.06681337356568,rebalance
2010-11-10,IAU,SELL,0.241,27.45450708465576,rebalance
2010-11-10,FDN,BUY,0.083,33.806759236907965,rebalance
2010-11-10,SOXX,BUY,0.1875,17.5301719745636,rebalance
2010-11-11,SOXX,BUY,0.1358,17.046741720199584,rebalance
2010-11-11,FDN,SELL,0.0365,33.52329277954101,rebalance
2010-11-11,IAU,SELL,0.0028,27.554487466049196,rebalance
2010-11-12,SOXX,SELL,28.9889,17.263213079071043,rebalance
2010-11-12,XLE,BUY,13.2256,63.19263630523682,rebalance
2010-11-12,FDN,SELL,12.7642,33.45330708465576,rebalance
2010-11-12,IAU,SELL,0.0001,27.21455531349182,rebalance
2010-11-15,XLE,SELL,13.1441,63.31733583068848,rebalance
2010-11-15,SOXX,BUY,46.9775,17.43348630523682,rebalance
2010-11-16,SOXX,SELL,47.3075,17.076583923721316,rebalance
2010-11-16,XLE,BUY,13.1132,62.00239967880249,rebalance
2010-11-17,XLE,SELL,5.1297,61.28773923721313,rebalance
2010-11-17,SMH,BUY,28.1402,14.992997771072389,rebalance
2010-11-18,SMH,SELL,7.7562,15.146969618606569,rebalance
2010-11-18,XLE,SELL,2.2087,62.28753923721314,rebalance
2010-11-18,SOXX,BUY,14.7254,17.113422610473634,rebalance
2010-11-19,XLE,BUY,2.1955,62.89257706832886,rebalance
2010-11-19,SOXX,SELL,14.7539,17.209890463256833,rebalance
2010-11-19,SMH,BUY,7.8689,15.238046656608581,rebalance
2010-11-22,SMH,SELL,28.3817,15.346930381393431,rebalance
2010-11-22,XLE,BUY,5.3149,63.252649678802484,rebalance
2010-11-23,XLE,SELL,13.5613,62.467503542327876,rebalance
2010-11-23,SOXX,BUY,47.3857,17.553509236907956,rebalance
2010-11-24,SOXX,SELL,47.0737,17.719788692092898,rebalance
2010-11-24,SMH,BUY,53.2853,15.628125,rebalance
2010-11-26,XLE,BUY,6.9561,62.66253152618408,rebalance
2010-11-26,SMH,SELL,21.0236,15.751849114418029,rebalance
2010-11-26,SOXX,SELL,0.3136,17.953075613021852,rebalance
2010-11-29,SOXX,BUY,47.3561,17.846900957107543,rebalance
2010-11-29,SMH,SELL,32.5094,15.621875,rebalance
2010-11-29,XLE,SELL,6.9907,62.18756076278686,rebalance
2010-11-30,SOXX,SELL,18.9913,17.72645354232788,rebalance
2010-11-30,FDN,BUY,12.9508,33.566713373565676,rebalance
2010-12-01,FDN,SELL,12.714,33.90321784744263,rebalance
2010-12-01,SOXX,BUY,18.522,17.970260508728025,rebalance
2010-12-02,FDN,SELL,0.236,34.04318923721314,rebalance
2010-12-02,SOXX,SELL,18.2145,18.303005994415287,rebalance
2010-12-02,XLE,BUY,6.8549,64.56291305236817,rebalance
2010-12-03,SOXX,SELL,0.0796,18.446310762786865,rebalance
2010-12-03,XLE,BUY,0.0351,65.15302738952636,rebalance
2010-12-03,FDN,SELL,0.0008,34.15316784744263,rebalance
2010-12-06,SOXX,SELL,0.0465,18.702925613021847,rebalance
2010-12-06,XLE,SELL,0.0074,65.7568426437378,rebalance
2010-12-07,SOXX,SELL,7.6553,18.836232152557372,rebalance
2010-12-07,XLE,SELL,6.7941,66.88662152557373,rebalance
2010-12-07,FDN,BUY,7.754,35.06701337356567,rebalance
2010-12-07,SMH,BUY,20.0798,16.44328853416443,rebalance
2010-12-08,FDN,SELL,7.6985,34.9830036781311,rebalance
2010-12-08,XLE,SELL,0.0884,65.8468286102295,rebalance
2010-12-08,SMH,BUY,7.8236,16.32826576309204,rebalance
2010-12-08,SOXX,BUY,7.8731,18.62705764389038,rebalance
2010-12-09,SOXX,BUY,0.0738,18.917116559600828,rebalance
2010-12-09,FDN,SELL,0.055,35.18296062698364,rebalance
2010-12-09,SMH,BUY,0.051,16.628324999999997,rebalance
2010-12-10,FDN,SELL,0.0004,35.012996457672116,rebalance
2010-12-10,SOXX,SELL,0.0319,18.889554768371582,rebalance
2010-12-10,SMH,BUY,0.0276,16.503300000000003,rebalance
2010-12-13,SMH,SELL,27.8295,16.51669645767212,rebalance
2010-12-13,SOXX,BUY,18.8038,18.973793313217165,rebalance
2010-12-14,SOXX,SELL,18.8622,18.766246457672118,rebalance
2010-12-14,SMH,BUY,27.9062,16.293258915710446,rebalance
2010-12-15,SMH,SELL,28.1537,16.236751771163938,rebalance
2010-12-15,XLE,SELL,0.0001,65.8568287460327,rebalance
2010-12-15,SOXX,BUY,18.6936,18.5570439491272,rebalance
2010-12-16,SOXX,SELL,0.2428,18.412984604644777,rebalance
2010-12-17,SOXX,BUY,0.0158,18.54037420349121,rebalance
2010-12-20,SOXX,BUY,0.3829,18.600385669326783,rebalance
2010-12-21,SOXX,SELL,47.4002,18.546289237213138,rebalance
2010-12-21,IWM,BUY,11.1282,78.66573152618409,rebalance
2010-12-22,SOXX,SELL,0.1976,18.50629822883606,rebalance
2010-12-22,IWM,BUY,0.1564,79.04580477905273,rebalance
2010-12-23,IWM,SELL,0.0725,78.94420708465577,rebalance
2010-12-27,XBI,BUY,41.0191,21.434286305236817,rebalance
2010-12-27,IWM,SELL,11.2478,78.45430722045899,rebalance
2010-12-27,FDN,SELL,0.0001,34.76304645767212,rebalance
2010-12-28,XBI,BUY,0.0416,21.487630254364014,rebalance
2010-12-29,XBI,SELL,41.0992,21.31240422325134,rebalance
2010-12-29,XLE,BUY,12.8709,67.66353152618407,rebalance
2010-12-30,XLE,SELL,4.965,68.13637152557374,rebalance
2010-12-30,XLB,BUY,11.8973,38.43768630523681,rebalance
2010-12-31,XLB,BUY,0.0581,38.397677389526365,rebalance
2010-12-31,XLE,BUY,0.0275,68.14362325286865,rebalance
2011-01-03,IWM,BUY,3.4894,78.95579044189452,rebalance
2011-01-03,XLE,SELL,2.146,68.88622152557372,rebalance
2011-01-03,XLB,SELL,3.211,38.81223569488526,rebalance
2011-01-04,IWM,SELL,3.4789,79.82402833862304,rebalance
2011-01-04,XLB,SELL,8.7308,38.77224277954102,rebalance
2011-01-04,XLE,BUY,2.0989,69.20384044189453,rebalance
2011-01-04,XLF,BUY,34.7345,13.292665592765808,rebalance
2011-01-05,IWM,SELL,0.0105,78.38432152557374,rebalance
2011-01-05,XLE,SELL,0.0263,67.81643583068848,rebalance
2011-01-05,XLF,SELL,34.8629,13.173643812179566,rebalance
2011-01-05,XLB,BUY,11.8879,38.26765032119751,rebalance
2011-01-06,IWM,BUY,5.7544,79.41588152618408,rebalance
